Monthly income in euros for university graduates 2015;;;
;;;
;;;
Region;;First degree;Second degree
 Piemonte;;1300;1408
 Valle d'Aosta / Vallée d'Aoste;;1300;1721
 Liguria;;1250;1400
 Lombardia;;1400;1500
 Trentino Alto Adige / Südtirol;;1408;1500
 Provincia Autonoma Bolzano / Bozen;;1750;1750
 Provincia Autonoma Trento;;1300;1400
 Veneto;;1283;1400
 Friuli-Venezia Giulia;;1300;1300
 Emilia-Romagna;;1283;1400
 Toscana;;1083;1400
 Umbria;;1027;1250
 Marche;;1083;1192
 Lazio;;1020;1400
 Mezzogiorno;;1000;1083
 Abruzzo;;933;1246
 Molise;;1000;1083
 Campania;;1000;1090
 Puglia;;1000;1100
 Basilicata;;1083;1030
 Calabria;;1000;1000
 Sicilia;;1000;1083
 Sardegna;;1283;1167