What procentage of high school graduates enroll in university the same year, how many are there after a year and how many graduates 2017;;;;
;;;;
;;;;
Region of residence;Entry rate to university;Enrollment rate after a year;First university degree graduation rate;Master degree graduation rate
Italy;50,3;38,5;33,8;20,2
  Nord-ovest;53,9;34,2;32,2;18,2
    Piemonte;52,4;35;30,7;18
    Valle d'Aosta / Vallée d'Aoste;..;34,9;30,8;17,1
    Liguria;55,2;39,9;36,4;21,7
    Lombardia;54,4;33;32,2;17,9
  Nord-est;51,1;33,9;33,7;18,9
    Trentino Alto Adige / Südtirol;53,1;22,7;22,9;12,8
    Provincia Autonoma Bolzano / Bozen;..;12,7;12,7;6,7
    Provincia Autonoma Trento;53,1;33,5;33,5;19,2
    Veneto;50,4;34,7;34,8;19,4
    Friuli-Venezia Giulia;51,5;38;36;19,7
    Emilia-Romagna;51,5;35,2;34,8;19,8
  Centro (I);53,2;43,3;35,9;21,8
    Toscana;52,5;39,7;31,4;18,2
    Umbria;53,9;42,5;37,7;23,4
    Marche;54,3;42,2;39,1;23,8
    Lazio;53,1;45,8;37,5;23,1
  Sud;47,3;42,2;35,1;22,3
    Abruzzo;56,7;48,6;40,2;25,2
    Molise;54,4;49,1;44,1;29,1
    Campania;44;40,9;34,1;21,4
    Puglia;47,5;39,3;34,4;21,4
    Basilicata;51,5;49,4;37,2;26
    Calabria;50,3;45,7;35;23,2
  Isole;44,7;38,5;30,7;19,1
    Sicilia;43,7;37,2;30,8;19,4
    Sardegna;48,7;43,4;30,4;17,8