Region of residence;Latitude;Longitude;Entry rate to university;Enrollment rate after a year;First university degree graduation rate;Master degree graduation rate
Piemonte;45.05;7.51;52.4;35;30.7;18
Valle d'Aosta / Vallée d'Aoste;45.73;7.42;..;34.9;30.8;17.1
Liguria;44.31;8.39;55.2;39.9;36.4;21.7
Lombardia;45.47;9.84;54.4;33;32.2;17.9
Trentino Alto Adige / Südtirol;46.43;11.16;53.1;22.7;22.9;12.8
Provincia Autonoma Bolzano / Bozen;46.49;11.35;..;12.7;12.7;6.7
Provincia Autonoma Trento;46.07;11.12;53.1;33.5;33.5;19.2
Veneto;45.44;12.31;50.4;34.7;34.8;19.4
Friuli-Venezia Giulia;46.22;13.10;51.5;38;36;19.7
Emilia-Romagna;44.59;11.21;51.5;35.2;34.8;19.8
Toscana;43.77;11.24;52.5;39.7;31.4;18.2
Umbria;42.93;12.62;53.9;42.5;37.7;23.4
Marche;43.50;12.98;54.3;42.2;39.1;23.8
Lazio;41.65;12.98;53.1;45.8;37.5;23.1
Abruzzo;42.19;13.72;56.7;48.6;40.2;25.2
Molise;41.67;14.75;54.4;49.1;44.1;29.1
Campania;41.10;14.84;44;40.9;34.1;21.4
Puglia;40.79;17.10;47.5;39.3;34.4;21.4
Basilicata;40.64;15.97;51.5;49.4;37.2;26
Calabria;39.30;16.34;50.3;45.7;35;23.2
Sicilia;37.60;14.01;43.7;37.2;30.8;19.4
Sardegna;40.12;9.01;48.7;43.4;30.4;17.8